Donor,ISO3,Recipient,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2009 constant US$ 
Total",Ordinal,Percentage
United States,TZA,Tanzania,0.44,492.82,4.42,32.01,529.69,5,4.27%
United States,UGA,Uganda,1.39,504.39,1.81,19.51,527.10,6,4.25%
United States,ETH,Ethiopia,0.39,443.38,0.16,42.61,486.54,7,3.93%
United States,MOZ,Mozambique,0.92,358.24,3.28,13.55,375.98,8,3.03%
United States,All others,All others, 75.36 ," 2,636.25 ", 264.74 ," 1,054.75 "," 4,031.10 ",9,32.53%
UNPBF,LBR,Liberia,,,0.88,,0.88,2,0.01%
UNRWA,PSE,West Bank & Gaza Strip,,,94.03,,94.03,2,50.57%
UNRWA,JOR,Jordan,,,39.95,,39.95,3,21.49%
UNRWA,LBN,Lebanon,,,32.78,,32.78,4,17.63%
UNRWA,SYR,Syria,,,18.30,,18.30,5,9.84%
WFP,PRK,"Korea, Dem. Rep.",,,11.79,,11.79,2,15.81%
WFP,MWI,Malawi,,4.79,1.16,,5.95,3,7.97%
WFP,IND,India,,,4.42,,4.42,4,5.92%
WFP,KHM,Cambodia,,0.20,4.13,,4.33,5,5.80%
WFP,NPL,Nepal,,,3.97,,3.97,6,5.33%
WFP,ZMB,Zambia,,1.22,2.66,,3.88,7,5.21%
WFP,BGD,Bangladesh,,,3.77,,3.77,8,5.06%
WFP,All others,All others,, 10.73 , 25.75 ,, 36.48 ,9,48.91%
WHO,Global and Regional,Global and Regional,369.96,154.97,209.93,37.77,772.63,1,91.19%
