Donor,Year,Purpose,"Commitments, Million, constant 2009 US$"
IDB Sp.Fund,2010,HEALTH POLICY & ADMIN. MANAGEMENT,34.100361481
IDB Sp.Fund,2010,Other Health Purposes,1.188725062
IDB Sp.Fund,2010,RH & FP,
IFAD,2003,HEALTH POLICY & ADMIN. MANAGEMENT,1.242825975
IFAD,2003,Other Health Purposes,4.320979665
IFAD,2005,Other Health Purposes,5.511331728
IFAD,2008,HEALTH POLICY & ADMIN. MANAGEMENT,0.362642453
IFAD,2008,Other Health Purposes,4.564552652
Ireland,2000,HEALTH POLICY & ADMIN. MANAGEMENT,9.070590054
Ireland,2000,MDG6,3.485766324
Ireland,2000,Other Health Purposes,14.588824972
Ireland,2000,RH & FP,0.003402227
Ireland,2001,HEALTH POLICY & ADMIN. MANAGEMENT,15.028343795
Ireland,2001,MDG6,9.194210883
Ireland,2001,Other Health Purposes,20.568612163
Ireland,2002,HEALTH POLICY & ADMIN. MANAGEMENT,15.358627554
Ireland,2002,MDG6,47.416998338
Ireland,2002,Other Health Purposes,38.064021745
Ireland,2003,HEALTH POLICY & ADMIN. MANAGEMENT,46.367610455
Ireland,2003,MDG6,25.209037302
Ireland,2003,Other Health Purposes,43.107495252
Ireland,2004,HEALTH POLICY & ADMIN. MANAGEMENT,31.585606409
Ireland,2004,MDG6,35.296471805
Ireland,2004,Other Health Purposes,45.593570609
Ireland,2004,RH & FP,0.094494080
Ireland,2005,HEALTH POLICY & ADMIN. MANAGEMENT,37.771092573
Ireland,2005,MDG6,27.462462838
Ireland,2005,Other Health Purposes,51.595757671
Ireland,2005,RH & FP,0.101105881
Ireland,2006,HEALTH POLICY & ADMIN. MANAGEMENT,35.698704355
Ireland,2006,MDG6,93.101777609
Ireland,2006,Other Health Purposes,35.989442687
Ireland,2006,RH & FP,0.254718734
Ireland,2007,HEALTH POLICY & ADMIN. MANAGEMENT,45.012931136
Ireland,2007,MDG6,98.661383611
Ireland,2007,Other Health Purposes,30.517179302
Ireland,2007,RH & FP,0.184647089
Ireland,2008,HEALTH POLICY & ADMIN. MANAGEMENT,26.510781709
Ireland,2008,MDG6,73.223055531
Ireland,2008,Other Health Purposes,41.308491366
Ireland,2008,RH & FP,0.250415481
Ireland,2009,HEALTH POLICY & ADMIN. MANAGEMENT,36.983522810
Ireland,2009,MDG6,47.187072135
Ireland,2009,Other Health Purposes,39.272563111
Ireland,2009,RH & FP,0.291732349
Ireland,2010,HEALTH POLICY & ADMIN. MANAGEMENT,37.363850410
Ireland,2010,MDG6,33.137263978
Ireland,2010,Other Health Purposes,34.608544186
Ireland,2010,RH & FP,0.450403021
Isl.Dev Bank,2010,MDG6,12.898690213
Isl.Dev Bank,2010,Other Health Purposes,16.339179516
Isl.Dev Bank,2010,RH & FP,0.441905570
Italy,2000,HEALTH POLICY & ADMIN. MANAGEMENT,43.534411822
Italy,2000,MDG6,10.013506344
Italy,2000,Other Health Purposes,41.827456212
Italy,2000,RH & FP,3.437064311
Italy,2001,HEALTH POLICY & ADMIN. MANAGEMENT,20.664027740
Italy,2001,MDG6,4.572220525
Italy,2001,Other Health Purposes,19.509343917
Italy,2001,RH & FP,0.881633733
Italy,2002,HEALTH POLICY & ADMIN. MANAGEMENT,54.837767222
Italy,2002,MDG6,5.877410378
Italy,2002,Other Health Purposes,68.071779794
Italy,2002,RH & FP,0.352305565
Italy,2003,HEALTH POLICY & ADMIN. MANAGEMENT,0.270920521
Italy,2003,MDG6,8.631577095
Italy,2003,Other Health Purposes,100.570866892
Italy,2003,RH & FP,1.036538908
Italy,2004,HEALTH POLICY & ADMIN. MANAGEMENT,11.895725403
Italy,2004,MDG6,4.587361998
Italy,2004,Other Health Purposes,61.042793850
Italy,2004,RH & FP,1.003435498
Italy,2005,HEALTH POLICY & ADMIN. MANAGEMENT,2.427860253
Italy,2005,MDG6,13.882795085
Italy,2005,Other Health Purposes,85.730711281
Italy,2005,RH & FP,1.023982920
Italy,2006,HEALTH POLICY & ADMIN. MANAGEMENT,25.970910418
Italy,2006,MDG6,5.721765308
Italy,2006,Other Health Purposes,84.974599308
Italy,2006,RH & FP,0.865836468
Italy,2007,HEALTH POLICY & ADMIN. MANAGEMENT,12.480141678
Italy,2007,MDG6,21.789237128
Italy,2007,Other Health Purposes,77.599479825
Italy,2007,RH & FP,1.523074078
Italy,2008,HEALTH POLICY & ADMIN. MANAGEMENT,25.632796126
Italy,2008,MDG6,13.382259404
Italy,2008,Other Health Purposes,89.388893052
Italy,2008,RH & FP,2.278152175
Italy,2009,HEALTH POLICY & ADMIN. MANAGEMENT,23.893091366
Italy,2009,MDG6,17.628972859
Italy,2009,Other Health Purposes,75.486452179
Italy,2009,RH & FP,1.772512575
Italy,2010,HEALTH POLICY & ADMIN. MANAGEMENT,27.811098014
Italy,2010,MDG6,7.635037790
Italy,2010,Other Health Purposes,57.042258364
Italy,2010,RH & FP,5.228888152
Japan,2000,HEALTH POLICY & ADMIN. MANAGEMENT,
Japan,2000,MDG6,39.441378661
Japan,2000,Other Health Purposes,104.473678838
Japan,2000,RH & FP,3.542464930
Japan,2001,HEALTH POLICY & ADMIN. MANAGEMENT,
Japan,2001,MDG6,23.381345064
Japan,2001,Other Health Purposes,135.133591129
Japan,2001,RH & FP,
Japan,2002,HEALTH POLICY & ADMIN. MANAGEMENT,6.997118347
Japan,2002,MDG6,27.291747523
Japan,2002,Other Health Purposes,149.979200720
Japan,2002,RH & FP,3.583161600
Japan,2003,HEALTH POLICY & ADMIN. MANAGEMENT,169.742834041
Japan,2003,MDG6,58.756892656
Japan,2003,Other Health Purposes,134.910648572
Japan,2003,RH & FP,4.895228261
Japan,2004,HEALTH POLICY & ADMIN. MANAGEMENT,415.544541959
Japan,2004,MDG6,46.611586418
Japan,2004,Other Health Purposes,165.653696240
Japan,2004,RH & FP,0.095961399
Japan,2005,HEALTH POLICY & ADMIN. MANAGEMENT,118.020717370
Japan,2005,MDG6,11.745424900
Japan,2005,Other Health Purposes,143.394711961
Japan,2006,HEALTH POLICY & ADMIN. MANAGEMENT,122.991215151
Japan,2006,MDG6,60.231595853
Japan,2006,Other Health Purposes,178.771934621
Japan,2006,RH & FP,1.534536083
Japan,2007,HEALTH POLICY & ADMIN. MANAGEMENT,88.503063331
Japan,2007,MDG6,98.159655659
Japan,2007,Other Health Purposes,199.286108496
Japan,2007,RH & FP,17.152156437
Japan,2008,HEALTH POLICY & ADMIN. MANAGEMENT,97.677040488
Japan,2008,MDG6,83.586714966
Japan,2008,Other Health Purposes,99.493277550
Japan,2008,RH & FP,16.338857934
Japan,2009,HEALTH POLICY & ADMIN. MANAGEMENT,98.046278184
Japan,2009,MDG6,82.953448681
Japan,2009,Other Health Purposes,133.442998304
Japan,2009,RH & FP,39.925746735
Japan,2010,HEALTH POLICY & ADMIN. MANAGEMENT,69.972172729
Japan,2010,MDG6,77.364981171
Japan,2010,Other Health Purposes,249.318878455
Japan,2010,RH & FP,27.951643126
Republic of Korea,2006,HEALTH POLICY & ADMIN. MANAGEMENT,1.920171771
Republic of Korea,2006,MDG6,0.506815661
Republic of Korea,2006,Other Health Purposes,28.903639521
Republic of Korea,2006,RH & FP,0.360928687
Republic of Korea,2007,HEALTH POLICY & ADMIN. MANAGEMENT,1.392758224
Republic of Korea,2007,MDG6,2.644360450
Republic of Korea,2007,Other Health Purposes,83.573003768
Republic of Korea,2007,RH & FP,0.536460159
Republic of Korea,2008,HEALTH POLICY & ADMIN. MANAGEMENT,8.068909079
Republic of Korea,2008,MDG6,8.147898380
Republic of Korea,2008,Other Health Purposes,203.325894975
Republic of Korea,2008,RH & FP,15.568552954
Republic of Korea,2009,HEALTH POLICY & ADMIN. MANAGEMENT,8.484591000
Republic of Korea,2009,MDG6,6.906631000
Republic of Korea,2009,Other Health Purposes,137.229150000
Republic of Korea,2009,RH & FP,2.561616000
Republic of Korea,2010,HEALTH POLICY & ADMIN. MANAGEMENT,8.093184377
Republic of Korea,2010,MDG6,3.744123470
Republic of Korea,2010,Other Health Purposes,106.068346048
Republic of Korea,2010,RH & FP,1.938696385
Kuwait,2010,HEALTH POLICY & ADMIN. MANAGEMENT,8.915437962
Kuwait,2010,MDG6,2.377450123
Kuwait,2010,Other Health Purposes,0.518640952
Luxembourg,2001,HEALTH POLICY & ADMIN. MANAGEMENT,6.379114619
Luxembourg,2001,MDG6,14.649088834
Luxembourg,2001,Other Health Purposes,28.701403933
Luxembourg,2002,HEALTH POLICY & ADMIN. MANAGEMENT,16.360263187
Luxembourg,2002,MDG6,4.144523645
Luxembourg,2002,Other Health Purposes,28.372100838
Luxembourg,2003,HEALTH POLICY & ADMIN. MANAGEMENT,14.918459160
Luxembourg,2003,MDG6,4.471860373
Luxembourg,2003,Other Health Purposes,15.898257628
Luxembourg,2003,RH & FP,1.977775619
Luxembourg,2004,HEALTH POLICY & ADMIN. MANAGEMENT,4.691212680
Luxembourg,2004,MDG6,10.347852223
Luxembourg,2004,Other Health Purposes,23.646514362
Luxembourg,2004,RH & FP,1.113901286
Luxembourg,2005,HEALTH POLICY & ADMIN. MANAGEMENT,8.056925144
Luxembourg,2005,MDG6,11.890853092
Luxembourg,2005,Other Health Purposes,26.209680461
Luxembourg,2005,RH & FP,3.459425736
Luxembourg,2006,HEALTH POLICY & ADMIN. MANAGEMENT,12.071413639
Luxembourg,2006,MDG6,9.403172211
Luxembourg,2006,Other Health Purposes,27.067577370
Luxembourg,2006,RH & FP,2.316942024
Luxembourg,2007,HEALTH POLICY & ADMIN. MANAGEMENT,7.250520767
Luxembourg,2007,MDG6,11.751919687
Luxembourg,2007,Other Health Purposes,30.815268992
Luxembourg,2007,RH & FP,7.378361569
Luxembourg,2008,HEALTH POLICY & ADMIN. MANAGEMENT,5.952005752
Luxembourg,2008,MDG6,12.732501673
Luxembourg,2008,Other Health Purposes,27.984466492
Luxembourg,2008,RH & FP,8.071141352
Luxembourg,2009,HEALTH POLICY & ADMIN. MANAGEMENT,6.659196700
Luxembourg,2009,MDG6,11.899138602
Luxembourg,2009,Other Health Purposes,25.658152778
Luxembourg,2009,RH & FP,2.645564072
Luxembourg,2010,HEALTH POLICY & ADMIN. MANAGEMENT,11.463158431
Luxembourg,2010,MDG6,12.662860011
Luxembourg,2010,Other Health Purposes,30.270982963
Luxembourg,2010,RH & FP,6.525076785
Netherlands,2000,HEALTH POLICY & ADMIN. MANAGEMENT,48.516806698
Netherlands,2000,MDG6,93.006587543
Netherlands,2000,Other Health Purposes,96.510023037
Netherlands,2000,RH & FP,26.027830770
Netherlands,2001,HEALTH POLICY & ADMIN. MANAGEMENT,11.715012622
Netherlands,2001,MDG6,87.213554549
Netherlands,2001,Other Health Purposes,133.818509668
Netherlands,2001,RH & FP,15.773935132
Netherlands,2002,HEALTH POLICY & ADMIN. MANAGEMENT,149.522426169
Netherlands,2002,MDG6,117.680392779
Netherlands,2002,Other Health Purposes,66.486203040
Netherlands,2002,RH & FP,29.075662467
Netherlands,2003,HEALTH POLICY & ADMIN. MANAGEMENT,16.779703137
Netherlands,2003,MDG6,90.420760011
Netherlands,2003,Other Health Purposes,43.161144445
Netherlands,2003,RH & FP,43.916338191
Netherlands,2004,HEALTH POLICY & ADMIN. MANAGEMENT,116.776663560
Netherlands,2004,MDG6,103.062325076
Netherlands,2004,Other Health Purposes,72.954089651
Netherlands,2004,RH & FP,22.501520166
Netherlands,2005,HEALTH POLICY & ADMIN. MANAGEMENT,53.535355777
Netherlands,2005,MDG6,127.454997826
Netherlands,2005,Other Health Purposes,64.531212055
Netherlands,2005,RH & FP,41.971098203
Netherlands,2006,HEALTH POLICY & ADMIN. MANAGEMENT,231.718508660
Netherlands,2006,MDG6,107.489623742
Netherlands,2006,Other Health Purposes,425.763489436
Netherlands,2006,RH & FP,108.793662188
Netherlands,2007,HEALTH POLICY & ADMIN. MANAGEMENT,66.772004014
Netherlands,2007,MDG6,64.611786557
Netherlands,2007,Other Health Purposes,29.739324578
Netherlands,2007,RH & FP,32.181964440
Netherlands,2008,HEALTH POLICY & ADMIN. MANAGEMENT,34.627715668
Netherlands,2008,MDG6,58.084298722
Netherlands,2008,Other Health Purposes,271.641960814
Netherlands,2008,RH & FP,268.768447455
Netherlands,2009,HEALTH POLICY & ADMIN. MANAGEMENT,10.293290000
Netherlands,2009,MDG6,55.606630000
Netherlands,2009,Other Health Purposes,121.186360000
Netherlands,2009,RH & FP,62.952440000
Netherlands,2010,HEALTH POLICY & ADMIN. MANAGEMENT,12.533470779
Netherlands,2010,MDG6,26.072931346
Netherlands,2010,Other Health Purposes,159.969458082
Netherlands,2010,RH & FP,71.930000610
New Zealand,2002,HEALTH POLICY & ADMIN. MANAGEMENT,1.192768148
New Zealand,2002,MDG6,0.959017355
New Zealand,2002,Other Health Purposes,3.934019657
New Zealand,2002,RH & FP,0.077036785
New Zealand,2003,HEALTH POLICY & ADMIN. MANAGEMENT,0.803243887
New Zealand,2003,MDG6,2.134084761
New Zealand,2003,Other Health Purposes,6.831385405
New Zealand,2003,RH & FP,4.773222727
New Zealand,2004,HEALTH POLICY & ADMIN. MANAGEMENT,1.764936531
New Zealand,2004,MDG6,1.077078536
New Zealand,2004,Other Health Purposes,7.158705302
New Zealand,2004,RH & FP,1.147317124
New Zealand,2005,HEALTH POLICY & ADMIN. MANAGEMENT,1.687836394
New Zealand,2005,MDG6,4.418150477
New Zealand,2005,Other Health Purposes,12.709737467
New Zealand,2005,RH & FP,0.877246548
New Zealand,2006,HEALTH POLICY & ADMIN. MANAGEMENT,7.189759147
New Zealand,2006,MDG6,9.147287591
New Zealand,2006,Other Health Purposes,10.773657611
New Zealand,2006,RH & FP,3.413283631
New Zealand,2007,HEALTH POLICY & ADMIN. MANAGEMENT,4.585678161
New Zealand,2007,MDG6,3.587437535
New Zealand,2007,Other Health Purposes,5.136272767
New Zealand,2007,RH & FP,0.223206630
New Zealand,2008,HEALTH POLICY & ADMIN. MANAGEMENT,4.344376331
New Zealand,2008,MDG6,8.249271422
New Zealand,2008,Other Health Purposes,24.245515946
New Zealand,2008,RH & FP,6.531364707
New Zealand,2009,HEALTH POLICY & ADMIN. MANAGEMENT,4.661933950
New Zealand,2009,MDG6,5.449086815
New Zealand,2009,Other Health Purposes,14.335632975
New Zealand,2009,RH & FP,0.751501126
New Zealand,2010,HEALTH POLICY & ADMIN. MANAGEMENT,2.667451925
New Zealand,2010,MDG6,0.686188398
New Zealand,2010,Other Health Purposes,3.074792197
New Zealand,2010,RH & FP,4.570112289
Norway,2000,HEALTH POLICY & ADMIN. MANAGEMENT,4.383833232
Norway,2000,MDG6,25.636983262
Norway,2000,Other Health Purposes,36.335468318
Norway,2000,RH & FP,3.984723909
Norway,2001,HEALTH POLICY & ADMIN. MANAGEMENT,26.073017138
Norway,2001,MDG6,63.833740802
Norway,2001,Other Health Purposes,189.162324758
Norway,2001,RH & FP,6.989094983
Norway,2002,HEALTH POLICY & ADMIN. MANAGEMENT,22.478195488
Norway,2002,MDG6,97.824669422
Norway,2002,Other Health Purposes,90.156062510
Norway,2002,RH & FP,6.354356997
Norway,2003,HEALTH POLICY & ADMIN. MANAGEMENT,65.125283269
Norway,2003,MDG6,74.569372099
Norway,2003,Other Health Purposes,49.373439388
Norway,2003,RH & FP,8.721913831
Norway,2004,HEALTH POLICY & ADMIN. MANAGEMENT,55.276307038
Norway,2004,MDG6,23.798185968
Norway,2004,Other Health Purposes,49.192972768
Norway,2004,RH & FP,8.267268355
Norway,2005,HEALTH POLICY & ADMIN. MANAGEMENT,128.604606478
Norway,2005,MDG6,52.709347484
Norway,2005,Other Health Purposes,71.580259553
Norway,2005,RH & FP,8.093996281
Norway,2006,HEALTH POLICY & ADMIN. MANAGEMENT,79.483552673
Norway,2006,MDG6,83.209260838
Norway,2006,Other Health Purposes,219.820051851
Norway,2006,RH & FP,9.555141137
Norway,2007,HEALTH POLICY & ADMIN. MANAGEMENT,6.770948147
Norway,2007,MDG6,112.877816926
Norway,2007,Other Health Purposes,255.792182526
Norway,2007,RH & FP,8.128972694
Norway,2008,HEALTH POLICY & ADMIN. MANAGEMENT,19.563732418
Norway,2008,MDG6,114.409032139
Norway,2008,Other Health Purposes,67.990982312
Norway,2008,RH & FP,39.988254650
Norway,2009,HEALTH POLICY & ADMIN. MANAGEMENT,42.773745859
Norway,2009,MDG6,69.865493756
Norway,2009,Other Health Purposes,369.432771407
Norway,2009,RH & FP,14.134247101
Norway,2010,HEALTH POLICY & ADMIN. MANAGEMENT,13.494401305
Norway,2010,MDG6,87.356121340
Norway,2010,Other Health Purposes,61.856275023
Norway,2010,RH & FP,14.651796469
OFID,2009,MDG6,15.500000000
OFID,2009,Other Health Purposes,26.607000000
OFID,2010,MDG6,9.906042181
OFID,2010,Other Health Purposes,62.853842588
Portugal,2000,HEALTH POLICY & ADMIN. MANAGEMENT,3.420231208
Portugal,2000,Other Health Purposes,7.819193518
Portugal,2001,HEALTH POLICY & ADMIN. MANAGEMENT,2.779966978
Portugal,2001,MDG6,0.049984602
Portugal,2001,Other Health Purposes,11.812593966
Portugal,2002,HEALTH POLICY & ADMIN. MANAGEMENT,3.574023311
Portugal,2002,Other Health Purposes,9.345021661
Portugal,2003,HEALTH POLICY & ADMIN. MANAGEMENT,2.069217611
Portugal,2003,MDG6,0.001566027
Portugal,2003,Other Health Purposes,9.180889840
Portugal,2004,HEALTH POLICY & ADMIN. MANAGEMENT,2.923136954
Portugal,2004,MDG6,0.289856368
Portugal,2004,Other Health Purposes,8.980885365
Portugal,2004,RH & FP,0.055372373
Portugal,2005,HEALTH POLICY & ADMIN. MANAGEMENT,1.073134512
Portugal,2005,MDG6,0.288687139
Portugal,2005,Other Health Purposes,10.953234294
Portugal,2006,HEALTH POLICY & ADMIN. MANAGEMENT,0.269879374
Portugal,2006,MDG6,0.542809026
Portugal,2006,Other Health Purposes,11.300413161
Portugal,2007,HEALTH POLICY & ADMIN. MANAGEMENT,0.395958034
Portugal,2007,MDG6,0.323854507
Portugal,2007,Other Health Purposes,10.878529664
Portugal,2008,HEALTH POLICY & ADMIN. MANAGEMENT,0.785130135
Portugal,2008,MDG6,0.431202545
Portugal,2008,Other Health Purposes,6.720818875
Portugal,2008,RH & FP,0.011368521
Portugal,2009,HEALTH POLICY & ADMIN. MANAGEMENT,0.425229077
Portugal,2009,MDG6,0.273422922
Portugal,2009,Other Health Purposes,8.497723158
Portugal,2009,RH & FP,0.120023674
Portugal,2010,HEALTH POLICY & ADMIN. MANAGEMENT,0.397913790
Portugal,2010,MDG6,0.838605625
Portugal,2010,Other Health Purposes,11.433571273
Portugal,2010,RH & FP,0.206603997
Spain,2000,HEALTH POLICY & ADMIN. MANAGEMENT,9.050074515
Spain,2000,MDG6,12.304794237
Spain,2000,Other Health Purposes,129.208809360
Spain,2000,RH & FP,6.161042241
Spain,2001,HEALTH POLICY & ADMIN. MANAGEMENT,4.692707023
Spain,2001,MDG6,12.058425485
Spain,2001,Other Health Purposes,123.211346015
Spain,2001,RH & FP,7.970504889
Spain,2002,HEALTH POLICY & ADMIN. MANAGEMENT,5.466120736
Spain,2002,MDG6,14.478782483
Spain,2002,Other Health Purposes,128.232165221
Spain,2002,RH & FP,8.186228934
Spain,2003,HEALTH POLICY & ADMIN. MANAGEMENT,7.936003151
Spain,2003,MDG6,16.949253803
Spain,2003,Other Health Purposes,94.629122529
Spain,2003,RH & FP,7.668692097
Spain,2004,HEALTH POLICY & ADMIN. MANAGEMENT,15.967098887
Spain,2004,MDG6,17.898126922
Spain,2004,Other Health Purposes,119.575311863
Spain,2004,RH & FP,6.783699636
Spain,2005,HEALTH POLICY & ADMIN. MANAGEMENT,11.317039427
Spain,2005,MDG6,31.064746757
Spain,2005,Other Health Purposes,94.271677068
Spain,2005,RH & FP,14.857814561
Spain,2006,HEALTH POLICY & ADMIN. MANAGEMENT,15.199564203
Spain,2006,MDG6,52.442431428
Spain,2006,Other Health Purposes,100.380118383
Spain,2006,RH & FP,21.473116045
Spain,2007,HEALTH POLICY & ADMIN. MANAGEMENT,22.893846275
Spain,2007,MDG6,36.235324078
Spain,2007,Other Health Purposes,188.396221359
Spain,2007,RH & FP,28.324406224
Spain,2008,HEALTH POLICY & ADMIN. MANAGEMENT,36.629940617
Spain,2008,MDG6,44.699432322
Spain,2008,Other Health Purposes,210.514888045
Spain,2008,RH & FP,31.953038425
Spain,2009,HEALTH POLICY & ADMIN. MANAGEMENT,79.999692842
Spain,2009,MDG6,39.787494277
Spain,2009,Other Health Purposes,98.040623485
Spain,2009,RH & FP,47.063805347
Spain,2010,HEALTH POLICY & ADMIN. MANAGEMENT,52.276281307
Spain,2010,MDG6,22.618587727
Spain,2010,Other Health Purposes,130.613327601
Spain,2010,RH & FP,73.972077159
Sweden,2000,HEALTH POLICY & ADMIN. MANAGEMENT,35.020736001
Sweden,2000,MDG6,13.156143903
Sweden,2000,Other Health Purposes,55.345978102
Sweden,2000,RH & FP,17.647829562
Sweden,2001,HEALTH POLICY & ADMIN. MANAGEMENT,15.794290156
Sweden,2001,MDG6,23.257368272
Sweden,2001,Other Health Purposes,26.109505817
Sweden,2001,RH & FP,4.139062900
Sweden,2002,HEALTH POLICY & ADMIN. MANAGEMENT,54.391471388
Sweden,2002,MDG6,56.956905871
Sweden,2002,Other Health Purposes,49.216360518
Sweden,2002,RH & FP,3.646009431
Sweden,2003,HEALTH POLICY & ADMIN. MANAGEMENT,20.306400321
Sweden,2003,MDG6,48.144345067
Sweden,2003,Other Health Purposes,69.757909270
Sweden,2003,RH & FP,3.907275377
Sweden,2004,HEALTH POLICY & ADMIN. MANAGEMENT,23.347165044
Sweden,2004,MDG6,62.161318119
Sweden,2004,Other Health Purposes,36.406458508
Sweden,2004,RH & FP,26.161908566
Sweden,2005,HEALTH POLICY & ADMIN. MANAGEMENT,16.488897922
Sweden,2005,MDG6,87.311152423
Sweden,2005,Other Health Purposes,160.132855797
Sweden,2005,RH & FP,58.879245580
Sweden,2006,HEALTH POLICY & ADMIN. MANAGEMENT,59.918965410
Sweden,2006,MDG6,106.291692041
Sweden,2006,Other Health Purposes,154.550990080
Sweden,2006,RH & FP,9.094992884
Sweden,2007,HEALTH POLICY & ADMIN. MANAGEMENT,5.882336931
Sweden,2007,MDG6,93.353219879
Sweden,2007,Other Health Purposes,14.506390031
Sweden,2007,RH & FP,32.521270536
Sweden,2008,HEALTH POLICY & ADMIN. MANAGEMENT,9.032569444
Sweden,2008,MDG6,42.220187119
Sweden,2008,Other Health Purposes,95.443985506
Sweden,2008,RH & FP,10.356424301
Sweden,2009,HEALTH POLICY & ADMIN. MANAGEMENT,7.623681769
Sweden,2009,MDG6,40.346760885
Sweden,2009,Other Health Purposes,31.765660568
Sweden,2009,RH & FP,61.040580173
Sweden,2010,HEALTH POLICY & ADMIN. MANAGEMENT,12.062379346
Sweden,2010,MDG6,61.159679869
Sweden,2010,Other Health Purposes,63.882440950
Sweden,2010,RH & FP,27.440944491
Switzerland,2000,HEALTH POLICY & ADMIN. MANAGEMENT,7.352956529
Switzerland,2000,MDG6,1.125567175
Switzerland,2000,Other Health Purposes,49.171556216
Switzerland,2001,HEALTH POLICY & ADMIN. MANAGEMENT,11.539763124
Switzerland,2001,MDG6,0.667782218
Switzerland,2001,Other Health Purposes,35.112779419
Switzerland,2001,RH & FP,1.114659241
Switzerland,2002,HEALTH POLICY & ADMIN. MANAGEMENT,19.386068307
Switzerland,2002,MDG6,5.889144833
Switzerland,2002,Other Health Purposes,58.172325151
Switzerland,2002,RH & FP,2.363121484
Switzerland,2003,HEALTH POLICY & ADMIN. MANAGEMENT,3.906551614
Switzerland,2003,MDG6,2.872993096
Switzerland,2003,Other Health Purposes,35.193915778
Switzerland,2003,RH & FP,0.559220067
Switzerland,2004,HEALTH POLICY & ADMIN. MANAGEMENT,14.423455644
Switzerland,2004,MDG6,9.453787773
Switzerland,2004,Other Health Purposes,45.813287894
Switzerland,2004,RH & FP,2.978821901
Switzerland,2005,HEALTH POLICY & ADMIN. MANAGEMENT,10.461227613
Switzerland,2005,MDG6,5.820279097
Switzerland,2005,Other Health Purposes,30.775667998
Switzerland,2006,HEALTH POLICY & ADMIN. MANAGEMENT,18.533867613
Switzerland,2006,MDG6,2.049600272
Switzerland,2006,Other Health Purposes,21.593204577
Switzerland,2007,HEALTH POLICY & ADMIN. MANAGEMENT,52.753550967
Switzerland,2007,MDG6,1.670712431
Switzerland,2007,Other Health Purposes,23.159563634
Switzerland,2008,HEALTH POLICY & ADMIN. MANAGEMENT,9.289692479
Switzerland,2008,MDG6,6.404993629
Switzerland,2008,Other Health Purposes,51.935681406
Switzerland,2008,RH & FP,0.203538726
Switzerland,2009,HEALTH POLICY & ADMIN. MANAGEMENT,12.714096319
Switzerland,2009,MDG6,1.803671925
Switzerland,2009,Other Health Purposes,36.708690839
Switzerland,2009,RH & FP,2.400590460
Switzerland,2010,HEALTH POLICY & ADMIN. MANAGEMENT,19.788387498
Switzerland,2010,MDG6,12.036524378
Switzerland,2010,Other Health Purposes,28.502951005
Switzerland,2010,RH & FP,19.529027074
UNAIDS,2001,MDG6,129.824049510
UNAIDS,2002,MDG6,92.476183846
UNAIDS,2003,MDG6,161.769701973
UNAIDS,2004,MDG6,158.420843626
UNAIDS,2005,MDG6,139.766924383
UNAIDS,2006,MDG6,199.380429512
UNAIDS,2007,MDG6,135.755992508
UNAIDS,2008,MDG6,137.707118179
UNAIDS,2009,MDG6,175.681870000
UNAIDS,2010,MDG6,162.454011150
UNDP,2004,HEALTH POLICY & ADMIN. MANAGEMENT,0.748781773
UNDP,2004,MDG6,16.879673157
UNDP,2004,Other Health Purposes,0.787724404
UNDP,2005,HEALTH POLICY & ADMIN. MANAGEMENT,0.218194769
UNDP,2005,MDG6,20.050113938
UNDP,2005,Other Health Purposes,0.446623082
UNDP,2005,RH & FP,0.036403512
UNDP,2006,HEALTH POLICY & ADMIN. MANAGEMENT,0.585552093
UNDP,2006,MDG6,22.372396931
UNDP,2006,Other Health Purposes,0.490266517
UNDP,2006,RH & FP,0.023229215
UNDP,2007,HEALTH POLICY & ADMIN. MANAGEMENT,0.283534644
UNDP,2007,MDG6,14.482337006
UNDP,2007,Other Health Purposes,0.276158052
UNDP,2007,RH & FP,0.000175145
UNDP,2008,HEALTH POLICY & ADMIN. MANAGEMENT,1.075221490
UNDP,2008,MDG6,13.840050247
UNDP,2008,Other Health Purposes,0.370926986
UNDP,2009,HEALTH POLICY & ADMIN. MANAGEMENT,0.560330000
UNDP,2009,MDG6,18.945270000
UNDP,2009,Other Health Purposes,10.073780000
UNDP,2010,HEALTH POLICY & ADMIN. MANAGEMENT,0.100830067
UNDP,2010,MDG6,15.184163161
UNDP,2010,Other Health Purposes,6.301780403
UNDP,2010,RH & FP,0.026645619
UNECE,2008,HEALTH POLICY & ADMIN. MANAGEMENT,0.311708923
UNECE,2009,HEALTH POLICY & ADMIN. MANAGEMENT,0.183400000
UNECE,2010,HEALTH POLICY & ADMIN. MANAGEMENT,0.104805926
UNFPA,2001,HEALTH POLICY & ADMIN. MANAGEMENT,38.892542432
UNFPA,2001,MDG6,3.639942884
UNFPA,2001,RH & FP,261.762243238
UNFPA,2002,HEALTH POLICY & ADMIN. MANAGEMENT,86.745007718
UNFPA,2002,MDG6,8.057869764
UNFPA,2002,RH & FP,281.627819784
UNFPA,2003,HEALTH POLICY & ADMIN. MANAGEMENT,149.841500025
UNFPA,2003,MDG6,21.564801618
UNFPA,2003,RH & FP,288.951114286
UNFPA,2004,HEALTH POLICY & ADMIN. MANAGEMENT,87.545347455
UNFPA,2004,MDG6,6.134008512
UNFPA,2004,RH & FP,135.054198127
UNFPA,2005,HEALTH POLICY & ADMIN. MANAGEMENT,91.587351101
UNFPA,2005,MDG6,7.555517724
