Donor,Year,incomegroupname,"Disbursements, Million, constant 2010 US$"
Ireland,2008,Other LICs,3.25
Ireland,2008,Part I unallocated by income,27.39
Ireland,2008,UMICs,7.34
Ireland,2009,LDCs,79.48
Ireland,2009,LMICs,4.65
Ireland,2009,Other LICs,3.56
Ireland,2009,Part I unallocated by income,20.90
Ireland,2009,UMICs,6.23
Ireland,2010,LDCs,73.39
Ireland,2010,LMICs,3.21
Ireland,2010,Other LICs,4.56
Ireland,2010,Part I unallocated by income,13.95
Ireland,2010,UMICs,3.63
Ireland,2011,LDCs,68.33
Ireland,2011,LMICs,2.11
Ireland,2011,Other LICs,5.38
Ireland,2011,Part I unallocated by income,14.94
Ireland,2011,UMICs,1.55
Isl.Dev Bank,2010,LDCs,0.00
Isl.Dev Bank,2010,LMICs,0.00
Isl.Dev Bank,2010,Other LICs,0.00
Isl.Dev Bank,2010,Part I unallocated by income,0.00
Isl.Dev Bank,2010,UMICs,0.00
Italy,2001,LDCs,0.00
Italy,2001,LMICs,0.00
Italy,2001,Other LICs,0.00
Italy,2001,Part I unallocated by income,0.00
Italy,2001,UMICs,0.00
Italy,2002,LDCs,6.49
Italy,2002,LMICs,1.57
Italy,2002,Other LICs,0.69
Italy,2002,Part I unallocated by income,1.10
Italy,2002,UMICs,4.23
Italy,2003,LDCs,40.67
Italy,2003,LMICs,5.45
Italy,2003,Other LICs,1.35
Italy,2003,Part I unallocated by income,1.77
Italy,2003,UMICs,9.67
Italy,2004,LDCs,21.87
Italy,2004,LMICs,10.98
Italy,2004,Other LICs,1.59
Italy,2004,Part I unallocated by income,9.23
Italy,2004,UMICs,16.79
Italy,2005,LDCs,29.99
Italy,2005,LMICs,9.45
Italy,2005,Other LICs,1.64
Italy,2005,Part I unallocated by income,14.94
Italy,2005,UMICs,20.00
Italy,2006,LDCs,25.79
Italy,2006,LMICs,6.68
Italy,2006,Other LICs,1.76
Italy,2006,Part I unallocated by income,1.88
Italy,2006,UMICs,45.68
Italy,2007,LDCs,33.74
Italy,2007,LMICs,16.07
Italy,2007,Other LICs,4.53
Italy,2007,Part I unallocated by income,5.43
Italy,2007,UMICs,48.93
Italy,2008,LDCs,39.29
Italy,2008,LMICs,41.39
Italy,2008,Other LICs,3.83
Italy,2008,Part I unallocated by income,5.03
Italy,2008,UMICs,23.83
Italy,2009,LDCs,48.54
Italy,2009,LMICs,25.19
Italy,2009,Other LICs,3.11
Italy,2009,Part I unallocated by income,7.54
Italy,2009,UMICs,13.23
Italy,2010,LDCs,45.11
Italy,2010,LMICs,15.25
Italy,2010,Other LICs,5.78
Italy,2010,Part I unallocated by income,2.45
Italy,2010,UMICs,15.69
Italy,2011,LDCs,57.48
Italy,2011,LMICs,23.53
Italy,2011,Other LICs,5.18
Italy,2011,Part I unallocated by income,1.72
Italy,2011,UMICs,17.26
Japan,2001,LDCs,29.93
Japan,2001,LMICs,110.24
Japan,2001,Other LICs,4.12
Japan,2001,UMICs,52.11
Japan,2002,LDCs,49.10
Japan,2002,LMICs,65.00
Japan,2002,Other LICs,6.35
Japan,2002,UMICs,32.75
Japan,2003,LDCs,92.40
Japan,2003,LMICs,143.83
Japan,2003,Other LICs,17.34
Japan,2003,Part I unallocated by income,4.09
Japan,2003,UMICs,81.82
Japan,2004,LDCs,93.22
Japan,2004,LMICs,127.67
Japan,2004,Other LICs,8.21
Japan,2004,Part I unallocated by income,12.98
Japan,2004,UMICs,63.25
Japan,2005,LDCs,91.63
Japan,2005,LMICs,134.76
Japan,2005,Other LICs,25.74
Japan,2005,Part I unallocated by income,3.44
Japan,2005,UMICs,58.37
Japan,2006,LDCs,131.71
Japan,2006,LMICs,166.10
Japan,2006,Other LICs,12.58
Japan,2006,Part I unallocated by income,2.49
Japan,2006,UMICs,136.09
Japan,2007,LDCs,132.45
Japan,2007,LMICs,240.15
Japan,2007,Other LICs,11.21
Japan,2007,Part I unallocated by income,5.17
Japan,2007,UMICs,123.82
Japan,2008,LDCs,126.40
Japan,2008,LMICs,165.04
Japan,2008,Other LICs,10.29
Japan,2008,Part I unallocated by income,15.40
Japan,2008,UMICs,82.05
Japan,2009,LDCs,176.79
Japan,2009,LMICs,98.09
Japan,2009,Other LICs,20.68
Japan,2009,Part I unallocated by income,22.10
Japan,2009,UMICs,55.17
Japan,2010,LDCs,176.43
Japan,2010,LMICs,114.22
Japan,2010,Other LICs,34.07
Japan,2010,Part I unallocated by income,18.65
Japan,2010,UMICs,47.63
Japan,2011,LDCs,183.86
Japan,2011,LMICs,141.06
Japan,2011,Other LICs,18.74
Japan,2011,Part I unallocated by income,20.96
Japan,2011,UMICs,39.61
Kuwait (KFAED),2010,LDCs,0.00
Kuwait (KFAED),2010,LMICs,14.15
Kuwait (KFAED),2010,Part I unallocated by income,0.06
Kuwait (KFAED),2010,UMICs,19.11
Kuwait (KFAED),2011,LDCs,0.65
Kuwait (KFAED),2011,LMICs,8.13
Kuwait (KFAED),2011,Part I unallocated by income,0.05
Kuwait (KFAED),2011,UMICs,18.07
Luxembourg,2001,LDCs,0.00
Luxembourg,2001,LMICs,0.00
Luxembourg,2001,UMICs,0.00
Luxembourg,2002,LDCs,0.00
Luxembourg,2002,LMICs,0.00
Luxembourg,2002,Part I unallocated by income,0.00
Luxembourg,2002,UMICs,0.00
Luxembourg,2003,LDCs,0.00
Luxembourg,2003,LMICs,0.00
Luxembourg,2003,Part I unallocated by income,0.00
Luxembourg,2003,UMICs,0.00
Luxembourg,2004,LDCs,18.00
Luxembourg,2004,LMICs,14.63
Luxembourg,2004,Part I unallocated by income,3.98
Luxembourg,2004,UMICs,3.34
Luxembourg,2005,LDCs,13.10
Luxembourg,2005,LMICs,14.57
Luxembourg,2005,Part I unallocated by income,17.17
Luxembourg,2005,UMICs,4.96
Luxembourg,2006,LDCs,20.39
Luxembourg,2006,LMICs,22.85
Luxembourg,2006,Other LICs,0.16
Luxembourg,2006,Part I unallocated by income,1.47
Luxembourg,2006,UMICs,6.18
Luxembourg,2007,LDCs,26.81
Luxembourg,2007,LMICs,22.43
Luxembourg,2007,Other LICs,1.26
Luxembourg,2007,Part I unallocated by income,2.40
Luxembourg,2007,UMICs,4.52
Luxembourg,2008,LDCs,26.45
Luxembourg,2008,LMICs,18.59
Luxembourg,2008,Other LICs,1.80
Luxembourg,2008,Part I unallocated by income,1.16
Luxembourg,2008,UMICs,6.87
Luxembourg,2009,LDCs,24.71
Luxembourg,2009,LMICs,16.29
Luxembourg,2009,Other LICs,2.34
Luxembourg,2009,Part I unallocated by income,0.18
Luxembourg,2009,UMICs,3.23
Luxembourg,2010,LDCs,19.69
Luxembourg,2010,LMICs,15.25
Luxembourg,2010,Other LICs,0.19
Luxembourg,2010,Part I unallocated by income,20.00
Luxembourg,2010,UMICs,2.62
Luxembourg,2011,LDCs,17.70
Luxembourg,2011,LMICs,11.55
Luxembourg,2011,Other LICs,0.27
Luxembourg,2011,Part I unallocated by income,6.48
Luxembourg,2011,UMICs,1.70
Netherlands,2001,LDCs,137.45
Netherlands,2001,LMICs,50.02
Netherlands,2001,Other LICs,8.57
Netherlands,2001,Part I unallocated by income,6.15
Netherlands,2001,UMICs,21.32
Netherlands,2002,LDCs,124.05
Netherlands,2002,LMICs,62.76
Netherlands,2002,Other LICs,5.44
Netherlands,2002,Part I unallocated by income,36.37
Netherlands,2002,UMICs,18.62
Netherlands,2003,LDCs,87.67
Netherlands,2003,LMICs,38.15
Netherlands,2003,Other LICs,0.37
Netherlands,2003,Part I unallocated by income,143.78
Netherlands,2003,UMICs,11.72
Netherlands,2004,LDCs,80.83
Netherlands,2004,LMICs,45.48
Netherlands,2004,Other LICs,0.21
Netherlands,2004,Part I unallocated by income,138.05
Netherlands,2004,UMICs,8.06
Netherlands,2005,LDCs,91.69
Netherlands,2005,LMICs,31.01
Netherlands,2005,Other LICs,0.00
Netherlands,2005,Part I unallocated by income,104.64
Netherlands,2005,UMICs,10.14
Netherlands,2006,LDCs,96.19
Netherlands,2006,LMICs,50.10
Netherlands,2006,Other LICs,0.28
Netherlands,2006,Part I unallocated by income,123.98
Netherlands,2006,UMICs,5.40
Netherlands,2007,LDCs,120.54
Netherlands,2007,LMICs,46.29
Netherlands,2007,Other LICs,0.22
Netherlands,2007,Part I unallocated by income,122.44
Netherlands,2007,UMICs,15.95
Netherlands,2008,LDCs,114.82
Netherlands,2008,LMICs,48.64
Netherlands,2008,Other LICs,0.14
Netherlands,2008,Part I unallocated by income,162.17
Netherlands,2008,UMICs,19.47
Netherlands,2009,LDCs,90.11
Netherlands,2009,LMICs,50.04
Netherlands,2009,Other LICs,0.02
Netherlands,2009,Part I unallocated by income,188.76
Netherlands,2009,UMICs,15.99
Netherlands,2010,LDCs,90.66
Netherlands,2010,LMICs,51.00
Netherlands,2010,Other LICs,0.08
Netherlands,2010,Part I unallocated by income,154.75
Netherlands,2010,UMICs,12.28
Netherlands,2011,LDCs,94.56
Netherlands,2011,LMICs,57.06
Netherlands,2011,Other LICs,14.70
Netherlands,2011,Part I unallocated by income,118.22
Netherlands,2011,UMICs,6.45
New Zealand,2002,LDCs,2.22
New Zealand,2002,LMICs,1.95
New Zealand,2002,Other LICs,0.20
New Zealand,2002,Part I unallocated by income,0.66
New Zealand,2002,UMICs,1.42
New Zealand,2003,LDCs,2.36
New Zealand,2003,LMICs,3.49
New Zealand,2003,Other LICs,0.12
New Zealand,2003,Part I unallocated by income,4.16
New Zealand,2003,UMICs,1.96
New Zealand,2004,LDCs,2.22
New Zealand,2004,LMICs,5.43
New Zealand,2004,Other LICs,1.12
New Zealand,2004,Part I unallocated by income,2.86
New Zealand,2004,UMICs,1.17
New Zealand,2005,LDCs,2.19
New Zealand,2005,LMICs,4.82
New Zealand,2005,Other LICs,0.62
New Zealand,2005,Part I unallocated by income,6.55
New Zealand,2005,UMICs,4.66
New Zealand,2006,LDCs,2.84
New Zealand,2006,LMICs,9.42
New Zealand,2006,Other LICs,0.30
New Zealand,2006,Part I unallocated by income,8.11
New Zealand,2006,UMICs,1.37
New Zealand,2007,LDCs,0.81
New Zealand,2007,LMICs,4.71
New Zealand,2007,Other LICs,0.16
New Zealand,2007,Part I unallocated by income,6.54
New Zealand,2007,UMICs,0.80
New Zealand,2008,LDCs,1.98
New Zealand,2008,LMICs,7.50
New Zealand,2008,Other LICs,1.16
New Zealand,2008,Part I unallocated by income,9.16
New Zealand,2008,UMICs,0.81
New Zealand,2009,LDCs,3.40
New Zealand,2009,LMICs,5.19
New Zealand,2009,Part I unallocated by income,11.76
New Zealand,2009,UMICs,0.50
New Zealand,2010,LDCs,3.73
New Zealand,2010,LMICs,12.16
New Zealand,2010,Other LICs,1.06
New Zealand,2010,Part I unallocated by income,8.36
New Zealand,2010,UMICs,1.08
New Zealand,2011,LDCs,4.20
New Zealand,2011,LMICs,9.66
New Zealand,2011,Other LICs,0.47
New Zealand,2011,Part I unallocated by income,9.19
New Zealand,2011,UMICs,0.33
Norway,2001,LDCs,43.56
Norway,2001,LMICs,5.78
Norway,2001,Other LICs,2.19
Norway,2001,Part I unallocated by income,14.20
Norway,2001,UMICs,5.30
Norway,2002,LDCs,87.77
Norway,2002,LMICs,11.92
Norway,2002,Other LICs,3.13
Norway,2002,Part I unallocated by income,53.15
Norway,2002,UMICs,8.49
Norway,2003,LDCs,91.64
Norway,2003,LMICs,9.57
Norway,2003,Other LICs,3.59
Norway,2003,Part I unallocated by income,15.09
Norway,2003,UMICs,7.01
Norway,2004,LDCs,99.87
Norway,2004,LMICs,17.97
Norway,2004,Other LICs,4.01
Norway,2004,Part I unallocated by income,36.97
Norway,2004,UMICs,12.93
Norway,2005,LDCs,104.00
Norway,2005,LMICs,23.77
Norway,2005,Other LICs,5.21
Norway,2005,Part I unallocated by income,112.34
Norway,2005,UMICs,15.46
Norway,2006,LDCs,84.43
Norway,2006,LMICs,28.34
Norway,2006,Other LICs,4.24
Norway,2006,Part I unallocated by income,158.73
Norway,2006,UMICs,11.82
Norway,2007,LDCs,89.70
Norway,2007,LMICs,24.31
Norway,2007,Other LICs,4.05
Norway,2007,Part I unallocated by income,100.01
Norway,2007,UMICs,8.76
Norway,2008,LDCs,76.01
Norway,2008,LMICs,31.21
Norway,2008,Other LICs,2.25
Norway,2008,Part I unallocated by income,122.29
Norway,2008,UMICs,8.52
Norway,2009,LDCs,76.64
Norway,2009,LMICs,36.07
Norway,2009,Other LICs,6.53
Norway,2009,Part I unallocated by income,163.82
Norway,2009,UMICs,6.14
Norway,2010,LDCs,62.00
Norway,2010,LMICs,42.06
Norway,2010,Other LICs,3.34
Norway,2010,Part I unallocated by income,85.93
Norway,2010,UMICs,4.48
Norway,2011,LDCs,59.95
Norway,2011,LMICs,27.95
Norway,2011,Other LICs,5.42
Norway,2011,Part I unallocated by income,87.95
Norway,2011,UMICs,3.26
OFID,2009,LDCs,4.69
OFID,2009,LMICs,6.94
OFID,2009,Part I unallocated by income,0.00
OFID,2009,UMICs,6.43
OFID,2010,LDCs,3.20
OFID,2010,LMICs,5.95
OFID,2010,Other LICs,0.95
OFID,2010,Part I unallocated by income,7.70
OFID,2010,UMICs,6.23
OFID,2011,LDCs,7.16
OFID,2011,LMICs,8.04
OFID,2011,Other LICs,2.65
OFID,2011,Part I unallocated by income,10.64
OFID,2011,UMICs,0.51
Portugal,2001,LDCs,12.34
Portugal,2001,LMICs,1.69
Portugal,2001,Part I unallocated by income,0.05
Portugal,2001,UMICs,0.02
Portugal,2002,LDCs,10.26
Portugal,2002,LMICs,2.15
Portugal,2002,Part I unallocated by income,0.04
Portugal,2003,LDCs,7.48
Portugal,2003,LMICs,3.37
Portugal,2004,LDCs,8.79
Portugal,2004,LMICs,2.83
Portugal,2004,Part I unallocated by income,0.19
Portugal,2005,LDCs,7.92
Portugal,2005,LMICs,3.83
Portugal,2006,LDCs,8.81
Portugal,2006,LMICs,2.61
Portugal,2006,Part I unallocated by income,0.25
Portugal,2007,LDCs,8.54
Portugal,2007,LMICs,2.14
Portugal,2007,Part I unallocated by income,0.46
Portugal,2008,LDCs,4.47
Portugal,2008,LMICs,2.53
Portugal,2008,Part I unallocated by income,0.26
Portugal,2008,UMICs,0.41
Portugal,2009,LDCs,5.61
Portugal,2009,LMICs,3.09
Portugal,2009,Other LICs,0.06
Portugal,2009,Part I unallocated by income,0.11
Portugal,2009,UMICs,0.08
Portugal,2010,LDCs,6.74
Portugal,2010,LMICs,5.15
Portugal,2010,Part I unallocated by income,0.45
Portugal,2010,UMICs,0.05
Portugal,2011,LDCs,8.09
Portugal,2011,LMICs,8.22
Portugal,2011,Part I unallocated by income,0.04
Republic of Korea,2006,LDCs,4.93
Republic of Korea,2006,LMICs,13.30
Republic of Korea,2006,Other LICs,0.06
Republic of Korea,2006,Part I unallocated by income,1.79
Republic of Korea,2006,UMICs,17.75
Republic of Korea,2007,LDCs,8.19
Republic of Korea,2007,LMICs,22.92
Republic of Korea,2007,Other LICs,0.19
Republic of Korea,2007,Part I unallocated by income,3.47
Republic of Korea,2007,UMICs,11.32
Republic of Korea,2008,LDCs,11.87
Republic of Korea,2008,LMICs,34.49
Republic of Korea,2008,Other LICs,1.66
Republic of Korea,2008,Part I unallocated by income,11.67
Republic of Korea,2008,UMICs,7.19
Republic of Korea,2009,LDCs,28.54
Republic of Korea,2009,LMICs,44.92
Republic of Korea,2009,Other LICs,1.51
Republic of Korea,2009,Part I unallocated by income,13.53
Republic of Korea,2009,UMICs,25.64
Republic of Korea,2010,LDCs,38.75
Republic of Korea,2010,LMICs,51.08
Republic of Korea,2010,Other LICs,1.14
Republic of Korea,2010,Part I unallocated by income,12.69
Republic of Korea,2010,UMICs,37.33
Republic of Korea,2011,LDCs,31.01
Republic of Korea,2011,LMICs,40.48
Republic of Korea,2011,Other LICs,0.18
Republic of Korea,2011,Part I unallocated by income,3.69
Republic of Korea,2011,UMICs,21.50
Spain,2001,LDCs,37.73
Spain,2001,LMICs,90.89
Spain,2001,Other LICs,10.87
Spain,2001,Part I unallocated by income,6.39
Spain,2001,UMICs,27.06
Spain,2002,LDCs,29.09
Spain,2002,LMICs,37.15
Spain,2002,Other LICs,0.90
Spain,2002,Part I unallocated by income,10.88
Spain,2002,UMICs,29.94
Spain,2003,LDCs,42.00
Spain,2003,LMICs,42.88
Spain,2003,Other LICs,1.50
Spain,2003,Part I unallocated by income,5.55
Spain,2003,UMICs,35.36
Spain,2004,LDCs,44.77
Spain,2004,LMICs,58.63
Spain,2004,Other LICs,1.53
Spain,2004,Part I unallocated by income,8.31
Spain,2004,UMICs,28.90
Spain,2005,LDCs,51.95
Spain,2005,LMICs,69.16
Spain,2005,Other LICs,1.31
Spain,2005,Part I unallocated by income,22.09
Spain,2005,UMICs,27.20
Spain,2006,LDCs,55.08
Spain,2006,LMICs,48.04
Spain,2006,Other LICs,4.85
Spain,2006,Part I unallocated by income,30.44
Spain,2006,UMICs,25.28
Spain,2007,LDCs,59.37
Spain,2007,LMICs,49.53
Spain,2007,Other LICs,16.73
Spain,2007,Part I unallocated by income,69.39
Spain,2007,UMICs,39.67
Spain,2008,LDCs,104.03
Spain,2008,LMICs,81.54
Spain,2008,Other LICs,4.31
Spain,2008,Part I unallocated by income,104.81
Spain,2008,UMICs,70.40
Spain,2009,LDCs,94.77
Spain,2009,LMICs,81.63
Spain,2009,Other LICs,1.96
Spain,2009,Part I unallocated by income,90.72
Spain,2009,UMICs,51.82
Spain,2010,LDCs,72.50
Spain,2010,LMICs,57.77
Spain,2010,Other LICs,2.16
Spain,2010,Part I unallocated by income,64.38
Spain,2010,UMICs,52.67
Spain,2011,LDCs,53.83
Spain,2011,LMICs,48.69
Spain,2011,Other LICs,1.21
Spain,2011,Part I unallocated by income,31.86
Spain,2011,UMICs,20.85
Sweden,2001,LDCs,40.16
Sweden,2001,LMICs,25.73
Sweden,2001,Other LICs,4.18
Sweden,2001,Part I unallocated by income,56.22
Sweden,2001,UMICs,9.40
Sweden,2002,LDCs,38.40
Sweden,2002,LMICs,23.35
Sweden,2002,Other LICs,4.01
Sweden,2002,Part I unallocated by income,42.50
Sweden,2002,UMICs,4.36
Sweden,2003,LDCs,42.69
Sweden,2003,LMICs,21.02
Sweden,2003,Other LICs,5.66
Sweden,2003,Part I unallocated by income,48.67
Sweden,2003,UMICs,4.87
Sweden,2004,LDCs,56.57
Sweden,2004,LMICs,19.24
Sweden,2004,Other LICs,9.14
Sweden,2004,Part I unallocated by income,80.27
Sweden,2004,UMICs,7.33
Sweden,2005,LDCs,59.67
Sweden,2005,LMICs,22.19
Sweden,2005,Other LICs,13.16
Sweden,2005,Part I unallocated by income,116.22
Sweden,2005,UMICs,10.29
Sweden,2006,LDCs,103.96
Sweden,2006,LMICs,32.38
Sweden,2006,Other LICs,15.06
Sweden,2006,Part I unallocated by income,115.24
Sweden,2006,UMICs,13.98
Sweden,2007,LDCs,105.15
Sweden,2007,LMICs,27.17
Sweden,2007,Other LICs,12.16
Sweden,2007,Part I unallocated by income,125.03
Sweden,2007,UMICs,16.03
Sweden,2008,LDCs,89.99
Sweden,2008,LMICs,26.71
Sweden,2008,Other LICs,14.58
Sweden,2008,Part I unallocated by income,98.53
Sweden,2008,UMICs,10.35
Sweden,2009,LDCs,68.84
Sweden,2009,LMICs,19.36
Sweden,2009,Other LICs,11.90
Sweden,2009,Part I unallocated by income,118.34
Sweden,2009,UMICs,10.05
Sweden,2010,LDCs,55.29
Sweden,2010,LMICs,8.05
Sweden,2010,Other LICs,8.61
Sweden,2010,Part I unallocated by income,115.01
Sweden,2010,UMICs,8.67
Sweden,2011,LDCs,67.16
Sweden,2011,LMICs,9.47
Sweden,2011,Other LICs,5.53
Sweden,2011,Part I unallocated by income,79.24
Sweden,2011,UMICs,7.88
Switzerland,2001,LDCs,0.00
Switzerland,2001,LMICs,0.00
Switzerland,2001,Other LICs,0.00
Switzerland,2001,Part I unallocated by income,0.00
Switzerland,2001,UMICs,0.00
Switzerland,2002,LDCs,30.06
Switzerland,2002,LMICs,1.86
Switzerland,2002,Other LICs,0.82
Switzerland,2002,Part I unallocated by income,14.81
Switzerland,2002,UMICs,6.78
Switzerland,2003,LDCs,30.31
Switzerland,2003,LMICs,3.53
Switzerland,2003,Other LICs,3.16
Switzerland,2003,Part I unallocated by income,10.37
Switzerland,2003,UMICs,6.60
Switzerland,2004,LDCs,31.84
Switzerland,2004,LMICs,3.10
Switzerland,2004,Other LICs,3.96
Switzerland,2004,Part I unallocated by income,9.87
Switzerland,2004,UMICs,5.51
Switzerland,2005,LDCs,32.49
Switzerland,2005,LMICs,8.66
Switzerland,2005,Other LICs,3.15
Switzerland,2005,Part I unallocated by income,8.02
Switzerland,2005,UMICs,7.27
Switzerland,2006,LDCs,29.48
Switzerland,2006,LMICs,8.18
Switzerland,2006,Other LICs,7.04
Switzerland,2006,Part I unallocated by income,6.53
Switzerland,2006,UMICs,3.82
Switzerland,2007,LDCs,26.03
Switzerland,2007,LMICs,9.16
Switzerland,2007,Other LICs,5.93
Switzerland,2007,Part I unallocated by income,6.04
Switzerland,2007,UMICs,4.50
Switzerland,2008,LDCs,28.38
Switzerland,2008,LMICs,8.22
Switzerland,2008,Other LICs,6.23
Switzerland,2008,Part I unallocated by income,11.77
Switzerland,2008,UMICs,5.38
Switzerland,2009,LDCs,34.71
Switzerland,2009,LMICs,10.79
Switzerland,2009,Other LICs,5.64
Switzerland,2009,Part I unallocated by income,13.09
Switzerland,2009,UMICs,4.25
Switzerland,2010,LDCs,28.02
Switzerland,2010,LMICs,11.32
Switzerland,2010,Other LICs,5.68
Switzerland,2010,Part I unallocated by income,9.44
Switzerland,2010,UMICs,3.00
Switzerland,2011,LDCs,33.14
Switzerland,2011,LMICs,9.75
Switzerland,2011,Other LICs,7.99
Switzerland,2011,Part I unallocated by income,12.01
Switzerland,2011,UMICs,3.79
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2003,LDCs,132.50
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2003,LMICs,51.33
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2003,Other LICs,13.39
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2003,Part I unallocated by income,5.96
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2003,UMICs,72.83
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2004,LDCs,356.38
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2004,LMICs,136.06
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2004,Other LICs,38.80
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2004,Part I unallocated by income,9.70
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2004,UMICs,143.32
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,LDCs,691.14
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,LMICs,254.35
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,Other LICs,15.45
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,Part I unallocated by income,12.53
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,UMICs,173.75
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2006,LDCs,730.36
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2006,LMICs,327.95
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2006,Other LICs,74.15
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2006,Part I unallocated by income,21.75
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2006,UMICs,241.49
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2007,LDCs,845.19
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2007,LMICs,425.86
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2007,Other LICs,72.78
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2007,Part I unallocated by income,27.34
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2007,UMICs,305.40
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2008,LDCs,"1,214.98"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2008,LMICs,506.37
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2008,Other LICs,61.25
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2008,Part I unallocated by income,29.97
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2008,UMICs,315.79
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,LDCs,988.65
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,LMICs,945.14
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,Other LICs,53.89
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,Part I unallocated by income,30.06
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,UMICs,340.80
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,LDCs,"1,641.61"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,LMICs,757.36
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,Other LICs,189.50
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,Part I unallocated by income,33.72
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,UMICs,408.50
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,LDCs,"1,218.69"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,LMICs,760.47
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,Other LICs,155.83
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,Part I unallocated by income,16.17
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,UMICs,327.73
UNAIDS,2001,LDCs,20.43
UNAIDS,2001,LMICs,9.69
UNAIDS,2001,Other LICs,1.33
UNAIDS,2001,Part I unallocated by income,89.54
UNAIDS,2001,UMICs,8.74
UNAIDS,2002,LDCs,9.25
UNAIDS,2002,LMICs,6.87
UNAIDS,2002,Other LICs,0.99
UNAIDS,2002,Part I unallocated by income,67.19
UNAIDS,2002,UMICs,8.30
UNAIDS,2003,LDCs,13.87
UNAIDS,2003,LMICs,9.60
UNAIDS,2003,Other LICs,0.93
UNAIDS,2003,Part I unallocated by income,128.96
UNAIDS,2003,UMICs,8.84
UNAIDS,2004,LDCs,1.67
UNAIDS,2004,LMICs,1.77
UNAIDS,2004,Other LICs,0.04
UNAIDS,2004,Part I unallocated by income,152.81
UNAIDS,2004,UMICs,2.82
UNAIDS,2005,LDCs,15.20
UNAIDS,2005,LMICs,10.82
UNAIDS,2005,Other LICs,0.86
UNAIDS,2005,Part I unallocated by income,103.67
UNAIDS,2005,UMICs,9.18
UNAIDS,2006,LDCs,13.78
UNAIDS,2006,LMICs,10.14
UNAIDS,2006,Other LICs,1.89
UNAIDS,2006,Part I unallocated by income,162.99
UNAIDS,2006,UMICs,11.35
UNAIDS,2007,LDCs,30.44
UNAIDS,2007,LMICs,18.35
UNAIDS,2007,Other LICs,2.95
UNAIDS,2007,Part I unallocated by income,60.24
UNAIDS,2007,UMICs,21.44
UNAIDS,2008,LDCs,17.72
UNAIDS,2008,LMICs,12.25
UNAIDS,2008,Other LICs,1.66
UNAIDS,2008,Part I unallocated by income,97.52
UNAIDS,2008,UMICs,8.84
UNAIDS,2009,LDCs,20.60
UNAIDS,2009,LMICs,14.74
UNAIDS,2009,Other LICs,2.41
UNAIDS,2009,Part I unallocated by income,129.44
UNAIDS,2009,UMICs,9.18
UNAIDS,2010,LDCs,20.67
UNAIDS,2010,LMICs,16.64
UNAIDS,2010,Other LICs,1.89
UNAIDS,2010,Part I unallocated by income,113.04
UNAIDS,2010,UMICs,11.09
UNAIDS,2011,LDCs,25.49
UNAIDS,2011,LMICs,18.23
UNAIDS,2011,Other LICs,2.73
UNAIDS,2011,Part I unallocated by income,106.91
